epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,8824.06,1.09704,0.70094,1.15545,0.92763,0.87707,0.93049,0.62858,1.11482,0.59761,1.16426,0.004951,0.004951,0.004951
155,8876.63,1.08061,0.68279,1.14336,0.91242,0.88519,0.92692,0.62774,1.12409,0.60159,1.17251,0.004918,0.004918,0.004918
156,8929.08,1.0963,0.69016,1.15074,0.91537,0.87226,0.9255,0.62536,1.13119,0.6026,1.17485,0.004885,0.004885,0.004885
157,8981.7,1.10421,0.6836,1.15708,0.90635,0.87859,0.92766,0.62577,1.12624,0.60234,1.17037,0.004852,0.004852,0.004852
158,9035.2,1.09096,0.68155,1.14989,0.90971,0.87826,0.92867,0.62843,1.12138,0.59847,1.16949,0.004819,0.004819,0.004819
159,9089.54,1.07573,0.66802,1.1408,0.91505,0.88739,0.92799,0.62778,1.11926,0.60025,1.16958,0.004786,0.004786,0.004786
160,9143.9,1.08578,0.67429,1.14663,0.91405,0.88229,0.92724,0.62845,1.12035,0.60009,1.17217,0.004753,0.004753,0.004753
161,9198.08,1.07302,0.67659,1.14106,0.9164,0.8831,0.92788,0.62759,1.12247,0.60185,1.17204,0.00472,0.00472,0.00472
162,9252.48,1.06127,0.66288,1.12903,0.92518,0.8794,0.92855,0.6277,1.12937,0.59975,1.1754,0.004687,0.004687,0.004687
163,9306.91,1.08927,0.68448,1.14773,0.91973,0.89234,0.92744,0.62729,1.12771,0.60106,1.17359,0.004654,0.004654,0.004654
164,9361.43,1.07045,0.66124,1.13042,0.91936,0.89185,0.92947,0.62772,1.12632,0.59862,1.17336,0.004621,0.004621,0.004621
165,9414.5,1.07618,0.668,1.13662,0.91316,0.8975,0.92972,0.62971,1.12145,0.59353,1.16854,0.004588,0.004588,0.004588
166,9469.6,1.079,0.66659,1.14308,0.91721,0.89506,0.92886,0.62914,1.12037,0.59536,1.16771,0.004555,0.004555,0.004555
167,9527.79,1.06529,0.66044,1.131,0.91902,0.89253,0.92931,0.62973,1.1168,0.59652,1.16709,0.004522,0.004522,0.004522
168,9581.1,1.07574,0.67499,1.13892,0.92355,0.88273,0.92876,0.63113,1.11234,0.5957,1.16465,0.004489,0.004489,0.004489
169,9633.74,1.06411,0.66499,1.13316,0.92217,0.88468,0.92855,0.63105,1.11342,0.59446,1.16362,0.004456,0.004456,0.004456
170,9686.46,1.06524,0.66012,1.13216,0.91438,0.89073,0.92975,0.6296,1.11663,0.59335,1.16645,0.004423,0.004423,0.004423
171,9738.93,1.06639,0.65654,1.13045,0.92126,0.88228,0.9298,0.63046,1.11739,0.58769,1.1684,0.00439,0.00439,0.00439
172,9791.65,1.05728,0.65944,1.12936,0.92271,0.89004,0.93144,0.63133,1.11931,0.5856,1.17169,0.004357,0.004357,0.004357
173,9844.29,1.04682,0.6418,1.1218,0.92476,0.89186,0.93206,0.63149,1.11807,0.58761,1.16977,0.004324,0.004324,0.004324
174,9897.45,1.0463,0.65227,1.12442,0.92125,0.89305,0.93156,0.63014,1.11651,0.58723,1.1702,0.004291,0.004291,0.004291
175,9949.99,1.06501,0.66741,1.13164,0.93364,0.88173,0.93,0.63122,1.11962,0.58758,1.17362,0.004258,0.004258,0.004258
176,10002.3,1.04112,0.64486,1.11619,0.92931,0.88615,0.9305,0.63211,1.11839,0.59044,1.1706,0.004225,0.004225,0.004225
177,10054.8,1.04476,0.65134,1.12391,0.92821,0.88435,0.92903,0.63249,1.11643,0.5904,1.16637,0.004192,0.004192,0.004192
178,10107.6,1.05461,0.64093,1.12293,0.92609,0.88466,0.92905,0.63033,1.11194,0.58516,1.16389,0.004159,0.004159,0.004159
179,10161.2,1.05175,0.64185,1.12298,0.93348,0.88119,0.92935,0.63021,1.11589,0.58308,1.16818,0.004126,0.004126,0.004126
180,10215.7,1.04503,0.64479,1.1237,0.92593,0.88663,0.92889,0.63113,1.1195,0.58257,1.17129,0.004093,0.004093,0.004093
181,10270.1,1.04062,0.63319,1.11319,0.92867,0.88738,0.93084,0.62977,1.12065,0.57774,1.17199,0.00406,0.00406,0.00406
182,10324.3,1.03694,0.63862,1.11205,0.92312,0.89091,0.92953,0.63018,1.11887,0.57725,1.17132,0.004027,0.004027,0.004027
183,10378.6,1.03448,0.62662,1.11391,0.92693,0.89189,0.93125,0.63058,1.12024,0.57502,1.1723,0.003994,0.003994,0.003994
184,10431.6,1.04158,0.6354,1.11293,0.92757,0.89004,0.92898,0.63109,1.121,0.57622,1.17356,0.003961,0.003961,0.003961
185,10484.2,1.03085,0.63027,1.10972,0.92283,0.8892,0.92954,0.63372,1.11986,0.57418,1.17128,0.003928,0.003928,0.003928
186,10536.8,1.02772,0.62346,1.11127,0.92696,0.8901,0.93147,0.63415,1.12063,0.57467,1.17155,0.003895,0.003895,0.003895
