epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,5998.98,1.07025,0.67779,1.18971,0.93278,0.89143,0.93514,0.6161,1.15653,0.61021,1.26696,0.00472,0.00472,0.00472
162,6036.21,1.06386,0.67144,1.17913,0.92424,0.89381,0.93395,0.61334,1.1559,0.60945,1.26936,0.004687,0.004687,0.004687
163,6073.06,1.08414,0.68646,1.18248,0.92128,0.90004,0.93442,0.61607,1.15765,0.60641,1.27098,0.004654,0.004654,0.004654
164,6110.2,1.06188,0.66375,1.16425,0.92717,0.89117,0.9331,0.61432,1.16074,0.60562,1.27456,0.004621,0.004621,0.004621
165,6147.48,1.08266,0.67159,1.18463,0.92721,0.8923,0.93066,0.61324,1.1626,0.60288,1.27475,0.004588,0.004588,0.004588
166,6184.68,1.06964,0.67782,1.17976,0.92473,0.89195,0.93188,0.61573,1.16063,0.60548,1.27307,0.004555,0.004555,0.004555
167,6221.73,1.06327,0.66078,1.17244,0.92881,0.88863,0.9313,0.61583,1.16638,0.61158,1.27806,0.004522,0.004522,0.004522
168,6259.07,1.06745,0.67941,1.17434,0.92986,0.89242,0.93061,0.61462,1.16573,0.61136,1.27921,0.004489,0.004489,0.004489
169,6296.27,1.06157,0.66884,1.1722,0.92769,0.89184,0.93228,0.61278,1.16604,0.61201,1.27983,0.004456,0.004456,0.004456
170,6333.61,1.06548,0.67225,1.17029,0.93226,0.89284,0.93414,0.61412,1.1665,0.60968,1.28099,0.004423,0.004423,0.004423
171,6370.67,1.06561,0.6644,1.17282,0.93136,0.89093,0.93515,0.61535,1.16302,0.60554,1.27937,0.00439,0.00439,0.00439
172,6408.02,1.05134,0.66719,1.16854,0.93398,0.88507,0.93569,0.61604,1.16065,0.60203,1.27825,0.004357,0.004357,0.004357
173,6445.17,1.05231,0.65147,1.16197,0.93164,0.88907,0.93548,0.61763,1.15894,0.60245,1.27817,0.004324,0.004324,0.004324
174,6482.28,1.04998,0.65875,1.16402,0.92896,0.89532,0.93907,0.61704,1.15783,0.6003,1.27689,0.004291,0.004291,0.004291
175,6519.37,1.06225,0.67015,1.16948,0.93119,0.8938,0.93892,0.61746,1.15918,0.60215,1.27588,0.004258,0.004258,0.004258
176,6556.48,1.04664,0.64739,1.15882,0.93692,0.88821,0.9388,0.61773,1.1585,0.60194,1.27511,0.004225,0.004225,0.004225
177,6593.44,1.05177,0.66239,1.16977,0.93023,0.8949,0.93856,0.61908,1.15527,0.60137,1.27256,0.004192,0.004192,0.004192
178,6630.56,1.04692,0.64514,1.15984,0.9275,0.8938,0.93749,0.61992,1.15233,0.59898,1.27171,0.004159,0.004159,0.004159
179,6667.77,1.05192,0.6534,1.16184,0.9341,0.88908,0.93693,0.61912,1.1553,0.59711,1.27531,0.004126,0.004126,0.004126
180,6704.85,1.04697,0.65407,1.17098,0.93706,0.89461,0.93771,0.62082,1.15623,0.59563,1.27666,0.004093,0.004093,0.004093
181,6741.91,1.04397,0.63963,1.15551,0.93978,0.88975,0.93872,0.61832,1.15587,0.59259,1.27528,0.00406,0.00406,0.00406
182,6779.29,1.04461,0.6472,1.15403,0.9445,0.88397,0.93753,0.61822,1.1563,0.58952,1.27603,0.004027,0.004027,0.004027
183,6816.46,1.03824,0.63646,1.1538,0.94278,0.88391,0.93622,0.61749,1.15688,0.59214,1.27671,0.003994,0.003994,0.003994
184,6853.55,1.04018,0.63938,1.15352,0.9397,0.88554,0.93592,0.61751,1.15689,0.59391,1.27701,0.003961,0.003961,0.003961
185,6890.91,1.04214,0.63994,1.15998,0.93637,0.88767,0.9367,0.61816,1.15776,0.59233,1.27689,0.003928,0.003928,0.003928
186,6928.03,1.03017,0.63143,1.15046,0.93603,0.88589,0.93662,0.61667,1.16182,0.59248,1.28215,0.003895,0.003895,0.003895
